Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,TransitionGroupID,AttributeValue,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,2002,,,,Ag Contraction: Alder/Maple Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Alder/Maple Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Aspen/Birch Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Aspen/Birch Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: California Mixed Conifer Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: California Mixed Conifer Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Douglas-fir Coastal Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Douglas-fir Coastal Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Douglas-fir Inland Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Douglas-fir Inland Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Elm/Ash/Cottonwood Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Elm/Ash/Cottonwood Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Exotic Hardwoods Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Exotic Hardwoods Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Exotic Softwoods Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Exotic Softwoods Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Fir/Spruce/Mountain Hemlock Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Fir/Spruce/Mountain Hemlock Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Hemlock/Sitka Spruce Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Hemlock/Sitka Spruce Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Loblolly/Shortleaf Pine Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Loblolly/Shortleaf Pine Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Lodgepole Pine Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Lodgepole Pine Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Longleaf/Slash Pine Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Longleaf/Slash Pine Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Maple/Beech/Birch Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Maple/Beech/Birch Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Oak/Gum/Cypress Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Oak/Gum/Cypress Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Oak/Hickory Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Oak/Hickory Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Oak/Pine Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Oak/Pine Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Other Western Hardwoods Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Other Western Hardwoods Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Other Western Softwood Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Other Western Softwood Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Pinyon/Juniper Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Pinyon/Juniper Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Ponderosa Pine Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Ponderosa Pine Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Redwood Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Redwood Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Spruce/Fir Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Spruce/Fir Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Tanoak/Laurel Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Tanoak/Laurel Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Tropical Hardwoods Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Tropical Hardwoods Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Western Larch Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Western Larch Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Western Oak Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Western Oak Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: Western White Pine Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: Western White Pine Group [Type],0.88,1,,,,,
,2002,,,,Ag Contraction: White/Red/Jack Pine Group [Type],0.12,0,,,,,
,2002,,,,Ag Contraction: White/Red/Jack Pine Group [Type],0.88,1,,,,,
,2002,,,,Ag Expansion: Cropland [Type],0.12,0.1,,,,,
,2002,,,,Ag Expansion: Cropland [Type],0.88,1,,,,,
,2002,,,,Ag Expansion: Pasture [Type],0.12,0.1,,,,,
,2002,,,,Ag Expansion: Pasture [Type],0.88,1,,,,,
,2002,,,,Intensification: Low to High [Type],0.12,0.1,,,,,
,2002,,,,Intensification: Low to High [Type],0.88,1,,,,,
,2002,,,,Intensification: Low to Medium [Type],0.12,0.1,,,,,
,2002,,,,Intensification: Low to Medium [Type],0.88,1,,,,,
,2002,,,,Intensification: Medium to High [Type],0.12,0.1,,,,,
,2002,,,,Intensification: Medium to High [Type],0.88,1,,,,,
,2002,,,,Intensification: Open to High [Type],0.12,0.1,,,,,
,2002,,,,Intensification: Open to High [Type],0.88,1,,,,,
,2002,,,,Intensification: Open to Low [Type],0.12,0.1,,,,,
,2002,,,,Intensification: Open to Low [Type],0.88,1,,,,,
,2002,,,,Intensification: Open to Medium [Type],0.12,0.1,,,,,
,2002,,,,Intensification: Open to Medium [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Alder/Maple Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Alder/Maple Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Aspen/Birch Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Aspen/Birch Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: California Mixed Conifer Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: California Mixed Conifer Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Douglas-fir Coastal Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Douglas-fir Coastal Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Douglas-fir Inland Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Douglas-fir Inland Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Elm/Ash/Cottonwood Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Elm/Ash/Cottonwood Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Exotic Hardwoods Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Exotic Hardwoods Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Exotic Softwoods Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Exotic Softwoods Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Fir/Spruce/Mountain Hemlock Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Fir/Spruce/Mountain Hemlock Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Hemlock/Sitka Spruce Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Hemlock/Sitka Spruce Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Loblolly/Shortleaf Pine Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Loblolly/Shortleaf Pine Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Lodgepole Pine Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Lodgepole Pine Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Longleaf/Slash Pine Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Longleaf/Slash Pine Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Maple/Beech/Birch Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Maple/Beech/Birch Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Oak/Gum/Cypress Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Oak/Gum/Cypress Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Oak/Hickory Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Oak/Hickory Group [Type],0.88,1,,,,,
,2002,,,,Succession Post Fire: Oak/Pine Group [Type],0.12,0,,,,,
,2002,,,,Succession Post Fire: Oak/Pine Group [Type],0.88,1,,,,,
