Name,ID,Color,Legend,Description
Acadian Plains and Hills,82,,,
Arizona/New Mexico Mountains,23,,,
Arizona/New Mexico Plateau,22,,,
Arkansas Valley,37,,,
Atlantic Coastal Pine Barrens,84,,,
Blue Mountains,11,,,
Blue Ridge,66,,,
Boston Mountains,38,,,
Canadian Rockies,41,,,
Cascades,4,,,
Central Appalachians,69,,,
Central Basin and Range,13,,,
Central California Foothills and Coastal Mountains,6,,,
Central California Valley,7,,,
Central Corn Belt Plains,54,,,
Central Great Plains,27,,,
Central Irregular Plains,40,,,
Chihuahuan Deserts,24,,,
Coast Range,1,,,
Colorado Plateaus,20,,,
Columbia Plateau,10,,,
Cross Timbers,29,,,
Driftless Area,52,,,
East Central Texas Plains,33,,,
Eastern Cascades Slopes and Foothills,9,,,
Eastern Corn Belt Plains,55,,,
Eastern Great Lakes Lowlands,83,,,
Edwards Plateau,30,,,
Erie Drift Plain,61,,,
Flint Hills,28,,,
High Plains,25,,,
Huron/Erie Lake Plains,57,,,
Idaho Batholith,16,,,
Interior Plateau,71,,,
Interior River Valleys and Hills,72,,,
Klamath Mountains/California High North Coast Range,78,,,
Lake Agassiz Plain,48,,,
Madrean Archipelago,79,,,
Middle Atlantic Coastal Plain,63,,,
Middle Rockies,17,,,
Mississippi Alluvial Plain,73,,,
Mississippi Valley Loess Plains,74,,,
Mojave Basin and Range,14,,,
Nebraska Sand Hills,44,,,
North Cascades,77,,,
North Central Appalachians,62,,,
North Central Hardwood Forests,51,,,
Northeastern Coastal Zone,59,,,
Northeastern Highlands,58,,,
Northern Allegheny Plateau,60,,,
Northern Basin and Range,80,,,
Northern Glaciated Plains,46,,,
Northern Lakes and Forests,50,,,
Northern Minnesota Wetlands,49,,,
Northern Piedmont,64,,,
Northern Rockies,15,,,
Northwestern Glaciated Plains,42,,,
Northwestern Great Plains,43,,,
Ouachita Mountains,36,,,
Ozark Highlands,39,,,
Piedmont,45,,,
Puget Lowland,2,,,
Ridge and Valley,67,,,
Sierra Nevada,5,,,
Snake River Plain,12,,,
Sonoran Basin and Range,81,,,
South Central Plains,35,,,
Southeastern Plains,65,,,
Southeastern Wisconsin Till Plains,53,,,
Southern California Mountains,8,,,
Southern California/Northern Baja Coast,85,,,
Southern Coastal Plain,75,,,
Southern Florida Coastal Plain,76,,,
Southern Michigan/Northern Indiana Drift Plains,56,,,
Southern Rockies,21,,,
Southern Texas Plains,31,,,
Southwestern Appalachians,68,,,
Southwestern Tablelands,26,,,
Texas Blackland Prairies,32,,,
Wasatch and Uinta Mountains,19,,,
Western Allegheny Plateau,70,,,
Western Corn Belt Plains,47,,,
Western Gulf Coastal Plain,34,,,
Willamette Valley,3,,,
Wyoming Basin,18,,,
