Name,Description,Units,IsAuto
Biomass Turnover: Total,,,
Decay: Total,,,
Emission: Total,Total carbon emissions from all ecosystem components (DOM+ Biomass),,
Emission: Total (CO2e),,,
Emission: Total Rh,Total carbon emissions from all ecosystem components (DOM+ Biomass),,
Emission: Total Rh (CO2e),,,
LULC: Emission,,,
LULC: Emission (CO2e),,,
LULC: Emission CH4,,,
LULC: Emission CH4 (CO2e),,,
LULC: Emission CO,,,
LULC: Emission CO (CO2e),,,
LULC: Emission CO2,,,
LULC: Emission CO2 (CO2e),,,
LULC: Emission DOM,,,
LULC: Emission DOM (CO2e),,,
LULC: Emission Live,,,
LULC: Emission Live (CO2e),,,
LULC: Harvest,,,
LULC: Mortality,,,
LULC: Transfer,,,
Net Biome Productivity,,,
Net Biome Productivity (CO2e),,,
Net Ecosystem Productivity,,,
Net Ecosystem Productivity (CO2e),,,
Net Growth Forest: Total,Net biomass increment before losses from disturbances,,
Net Growth Non Forest: Total,,,
Net Growth: Total,Net biomass increment before losses from disturbances,,
Net Primary Productivity,,,
Net Primary Productivity (CO2e),,,
Q10 Fast Flows,,,
Q10 Slow Flows,,,
Transfer: Total,,,
