Name,Description
Alder/Maple Group,Forest
All,
Aspen/Birch Group,Forest
California Mixed Conifer Group,Forest
Cropland,Agriculture
Douglas-fir Coastal Group,Forest
Douglas-fir Inland Group,Forest
Elm/Ash/Cottonwood Group,Forest
Exotic Hardwoods Group,Forest
Exotic Softwoods Group,Forest
Fir/Spruce/Mountain Hemlock Group,Forest
Hemlock/Sitka Spruce Group,Forest
Herbaceous,Wetland
High Intensity,Developed
Loblolly/Shortleaf Pine Group,Forest
Lodgepole Pine Group,Forest
Longleaf/Slash Pine Group,Forest
Low Intensity,Developed
Maple/Beech/Birch Group,Forest
Medium Intensity,Developed
Oak/Gum/Cypress Group,Forest
Oak/Hickory Group,Forest
Oak/Pine Group,Forest
Open Space,Developed
Other Western Hardwoods Group,Forest
Other Western Softwood Group,Forest
Pasture,Agriculture
Pinyon/Juniper Group,Forest
Ponderosa Pine Group,Forest
Post Fire Shrub,
Redwood Group,Forest
Spruce/Fir Group,Forest
Tanoak/Laurel Group,Forest
Transportation,Developed
Tropical Hardwoods Group,Forest
Western Larch Group,Forest
Western Oak Group,Forest
Western White Pine Group,Forest
White/Red/Jack Pine Group,Forest
Woody,Wetland
