TransitionTypeID,TransitionGroupID,IsAuto
Ag Contraction: Alder/Maple Group,Ag Contraction,
Ag Contraction: Alder/Maple Group,Ag Contraction: Cropland,
Ag Contraction: Alder/Maple Group,Ag Contraction: Pasture,
Ag Contraction: Aspen/Birch Group,Ag Contraction,
Ag Contraction: Aspen/Birch Group,Ag Contraction: Cropland,
Ag Contraction: Aspen/Birch Group,Ag Contraction: Pasture,
Ag Contraction: California Mixed Conifer Group,Ag Contraction,
Ag Contraction: California Mixed Conifer Group,Ag Contraction: Cropland,
Ag Contraction: California Mixed Conifer Group,Ag Contraction: Pasture,
Ag Contraction: Douglas-fir Coastal Group,Ag Contraction,
Ag Contraction: Douglas-fir Coastal Group,Ag Contraction: Cropland,
Ag Contraction: Douglas-fir Coastal Group,Ag Contraction: Pasture,
Ag Contraction: Douglas-fir Inland Group,Ag Contraction,
Ag Contraction: Douglas-fir Inland Group,Ag Contraction: Cropland,
Ag Contraction: Douglas-fir Inland Group,Ag Contraction: Pasture,
Ag Contraction: Elm/Ash/Cottonwood Group,Ag Contraction,
Ag Contraction: Elm/Ash/Cottonwood Group,Ag Contraction: Cropland,
Ag Contraction: Elm/Ash/Cottonwood Group,Ag Contraction: Pasture,
Ag Contraction: Exotic Hardwoods Group,Ag Contraction,
Ag Contraction: Exotic Hardwoods Group,Ag Contraction: Cropland,
Ag Contraction: Exotic Hardwoods Group,Ag Contraction: Pasture,
Ag Contraction: Exotic Softwoods Group,Ag Contraction,
Ag Contraction: Exotic Softwoods Group,Ag Contraction: Cropland,
Ag Contraction: Exotic Softwoods Group,Ag Contraction: Pasture,
Ag Contraction: Fir/Spruce/Mountain Hemlock Group,Ag Contraction,
Ag Contraction: Fir/Spruce/Mountain Hemlock Group,Ag Contraction: Cropland,
Ag Contraction: Fir/Spruce/Mountain Hemlock Group,Ag Contraction: Pasture,
Ag Contraction: Grassland,Ag Contraction,
Ag Contraction: Grassland,Ag Contraction: Cropland,
Ag Contraction: Grassland,Ag Contraction: Pasture,
Ag Contraction: Hemlock/Sitka Spruce Group,Ag Contraction,
Ag Contraction: Hemlock/Sitka Spruce Group,Ag Contraction: Cropland,
Ag Contraction: Hemlock/Sitka Spruce Group,Ag Contraction: Pasture,
Ag Contraction: Loblolly/Shortleaf Pine Group,Ag Contraction,
Ag Contraction: Loblolly/Shortleaf Pine Group,Ag Contraction: Cropland,
Ag Contraction: Loblolly/Shortleaf Pine Group,Ag Contraction: Pasture,
Ag Contraction: Lodgepole Pine Group,Ag Contraction,
Ag Contraction: Lodgepole Pine Group,Ag Contraction: Cropland,
Ag Contraction: Lodgepole Pine Group,Ag Contraction: Pasture,
Ag Contraction: Longleaf/Slash Pine Group,Ag Contraction,
Ag Contraction: Longleaf/Slash Pine Group,Ag Contraction: Cropland,
Ag Contraction: Longleaf/Slash Pine Group,Ag Contraction: Pasture,
Ag Contraction: Maple/Beech/Birch Group,Ag Contraction,
Ag Contraction: Maple/Beech/Birch Group,Ag Contraction: Cropland,
Ag Contraction: Maple/Beech/Birch Group,Ag Contraction: Pasture,
Ag Contraction: Oak/Gum/Cypress Group,Ag Contraction,
Ag Contraction: Oak/Gum/Cypress Group,Ag Contraction: Cropland,
