TransitionGroupID,Summary,SummaryByStateClass,TimeSinceTransition,Spatial,SpatialEvents,SpatialTimeSinceTransition,SpatialProbability,AvgSpatialTimeSinceTransition
Ag Contraction,Yes,No,No,Yes,No,No,Yes,No
Ag Contraction: Alder/Maple Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Aspen/Birch Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: California Mixed Conifer Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Douglas-fir Coastal Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Douglas-fir Inland Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Elm/Ash/Cottonwood Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Exotic Hardwoods Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Exotic Softwoods Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Fir/Spruce/Mountain Hemlock Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Grassland [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Hemlock/Sitka Spruce Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Loblolly/Shortleaf Pine Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Lodgepole Pine Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Longleaf/Slash Pine Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Maple/Beech/Birch Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Oak/Gum/Cypress Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Oak/Hickory Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Oak/Pine Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Other Western Hardwoods Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Other Western Softwood Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Pinyon/Juniper Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Ponderosa Pine Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Redwood Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Shrubland [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Spruce/Fir Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Tanoak/Laurel Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Tropical Hardwoods Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Western Larch Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Western Oak Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Western White Pine Group [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Wetland Herbaceous [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: Wetland Woody [Type],Yes,No,No,No,No,No,No,No
Ag Contraction: White/Red/Jack Pine Group [Type],Yes,No,No,No,No,No,No,No
Ag Expansion,Yes,No,No,Yes,No,No,Yes,No
Ag Expansion: Cropland [Type],Yes,No,No,No,No,No,No,No
Ag Expansion: Pasture [Type],Yes,No,No,No,No,No,No,No
Fire,Yes,No,No,Yes,No,No,Yes,No
Fire: High Severity [Type],Yes,No,No,No,No,No,No,No
Fire: Low Severity [Type],Yes,No,No,No,No,No,No,No
Fire: Medium Severity [Type],Yes,No,No,No,No,No,No,No
Forest Harvest,Yes,No,No,Yes,No,No,Yes,No
