StateClassID,StateAttributeTypeID,AgeMin,AgeMax,Value,,,,,,,,,,,,,
Grassland: Annual,Carbon Initial Conditions: Coarse Roots,,,0,,,,,,,,,,,,,
Grassland: Annual,Carbon Initial Conditions: Fine Roots,,,0.5371,,,,,,,,,,,,,
Grassland: Annual,Carbon Initial Conditions: Foliage,,,0.4129,,,,,,,,,,,,,
Grassland: Annual,Carbon Initial Conditions: Merchantable,,,0,,,,,,,,,,,,,
Grassland: Annual,Carbon Initial Conditions: Other Wood,,,0,,,,,,,,,,,,,
Grassland: Annual,Carbon Initial Conditions: Aboveground Fast,,,0,,,,,,,,,,,,,
Grassland: Annual,Carbon Initial Conditions: Aboveground Medium,,,0,,,,,,,,,,,,,
Grassland: Annual,Carbon Initial Conditions: Aboveground Slow,,,4.7628,,,,,,,,,,,,,
Grassland: Annual,Carbon Initial Conditions: Aboveground Very Fast,,,0.7672,,,,,,,,,,,,,
Grassland: Annual,Carbon Initial Conditions: Belowground Fast,,,0,,,,,,,,,,,,,
Grassland: Annual,Carbon Initial Conditions: Belowground Slow,,,22.5196,,,,,,,,,,,,,
Grassland: Annual,Carbon Initial Conditions: Belowground Very Fast,,,0.171,,,,,,,,,,,,,
Grassland: Annual,Carbon Initial Conditions: Snag Branch,,,0,,,,,,,,,,,,,
Grassland: Annual,Carbon Initial Conditions: Snag Stem,,,0,,,,,,,,,,,,,
Grassland: Irrigated Perennial,Carbon Initial Conditions: Coarse Roots,,,0,,,,,,,,,,,,,
Grassland: Irrigated Perennial,Carbon Initial Conditions: Fine Roots,,,9.8259,,,,,,,,,,,,,
Grassland: Irrigated Perennial,Carbon Initial Conditions: Foliage,,,7.8447,,,,,,,,,,,,,
Grassland: Irrigated Perennial,Carbon Initial Conditions: Merchantable,,,0,,,,,,,,,,,,,
Grassland: Irrigated Perennial,Carbon Initial Conditions: Other Wood,,,0,,,,,,,,,,,,,
Grassland: Irrigated Perennial,Carbon Initial Conditions: Aboveground Fast,,,0,,,,,,,,,,,,,
Grassland: Irrigated Perennial,Carbon Initial Conditions: Aboveground Medium,,,0,,,,,,,,,,,,,
Grassland: Irrigated Perennial,Carbon Initial Conditions: Aboveground Slow,,,91.77,,,,,,,,,,,,,
Grassland: Irrigated Perennial,Carbon Initial Conditions: Aboveground Very Fast,,,32.2227,,,,,,,,,,,,,
Grassland: Irrigated Perennial,Carbon Initial Conditions: Belowground Fast,,,0,,,,,,,,,,,,,
Grassland: Irrigated Perennial,Carbon Initial Conditions: Belowground Slow,,,299.7863,,,,,,,,,,,,,
Grassland: Irrigated Perennial,Carbon Initial Conditions: Belowground Very Fast,,,6.0983,,,,,,,,,,,,,
Grassland: Irrigated Perennial,Carbon Initial Conditions: Snag Branch,,,0,,,,,,,,,,,,,
Grassland: Irrigated Perennial,Carbon Initial Conditions: Snag Stem,,,0,,,,,,,,,,,,,
Grassland: Natural Perennial,Carbon Initial Conditions: Coarse Roots,,,0,,,,,,,,,,,,,
Grassland: Natural Perennial,Carbon Initial Conditions: Fine Roots,,,2.4976,,,,,,,,,,,,,
Grassland: Natural Perennial,Carbon Initial Conditions: Foliage,,,2.0314,,,,,,,,,,,,,
Grassland: Natural Perennial,Carbon Initial Conditions: Merchantable,,,0,,,,,,,,,,,,,
Grassland: Natural Perennial,Carbon Initial Conditions: Other Wood,,,0,,,,,,,,,,,,,
Grassland: Natural Perennial,Carbon Initial Conditions: Aboveground Fast,,,0,,,,,,,,,,,,,
Grassland: Natural Perennial,Carbon Initial Conditions: Aboveground Medium,,,0,,,,,,,,,,,,,
Grassland: Natural Perennial,Carbon Initial Conditions: Aboveground Slow,,,14.323,,,,,,,,,,,,,
Grassland: Natural Perennial,Carbon Initial Conditions: Aboveground Very Fast,,,5.0291,,,,,,,,,,,,,
Grassland: Natural Perennial,Carbon Initial Conditions: Belowground Fast,,,0,,,,,,,,,,,,,
Grassland: Natural Perennial,Carbon Initial Conditions: Belowground Slow,,,91.8173,,,,,,,,,,,,,
Grassland: Natural Perennial,Carbon Initial Conditions: Belowground Very Fast,,,3.0285,,,,,,,,,,,,,
Grassland: Natural Perennial,Carbon Initial Conditions: Snag Branch,,,0,,,,,,,,,,,,,
Grassland: Natural Perennial,Carbon Initial Conditions: Snag Stem,,,0,,,,,,,,,,,,,
Shrubland: Chaparral,Carbon Initial Conditions: Coarse Roots,,,0,,,,,,,,,,,,,
Shrubland: Chaparral,Carbon Initial Conditions: Fine Roots,,,2.5978,,,,,,,,,,,,,
Shrubland: Chaparral,Carbon Initial Conditions: Foliage,,,3.1695,,,,,,,,,,,,,
Shrubland: Chaparral,Carbon Initial Conditions: Merchantable,,,0,,,,,,,,,,,,,
Shrubland: Chaparral,Carbon Initial Conditions: Other Wood,,,1.2659,,,,,,,,,,,,,
Shrubland: Chaparral,Carbon Initial Conditions: Aboveground Fast,,,3.0453,,,,,,,,,,,,,
Shrubland: Chaparral,Carbon Initial Conditions: Aboveground Medium,,,0,,,,,,,,,,,,,
Shrubland: Chaparral,Carbon Initial Conditions: Aboveground Slow,,,21.609,,,,,,,,,,,,,
Shrubland: Chaparral,Carbon Initial Conditions: Aboveground Very Fast,,,2.6378,,,,,,,,,,,,,
Shrubland: Chaparral,Carbon Initial Conditions: Belowground Fast,,,0,,,,,,,,,,,,,
Shrubland: Chaparral,Carbon Initial Conditions: Belowground Slow,,,74.5755,,,,,,,,,,,,,
Shrubland: Chaparral,Carbon Initial Conditions: Belowground Very Fast,,,0.4345,,,,,,,,,,,,,
Shrubland: Chaparral,Carbon Initial Conditions: Snag Branch,,,2.1224,,,,,,,,,,,,,
Shrubland: Chaparral,Carbon Initial Conditions: Snag Stem,,,0,,,,,,,,,,,,,
Shrubland: Invaded Sage Steppe,Carbon Initial Conditions: Coarse Roots,,,0,,,,,,,,,,,,,
