Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,AgeMin,AgeMax,FlowGroupID,FlowMultiplierTypeID,Value,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,,,,Grassland: Annual,,,Biomass Turnover: Coarse Roots -> AG Fast [Type],,0.01,,,,,
,,,,,Grassland: Annual,,,Biomass Turnover: Coarse Roots -> BG Fast [Type],,0.01,,,,,
,,,,,Grassland: Annual,,,Biomass Turnover: Fine Roots -> AG Very Fast [Type],,0.25,,,,,
,,,,,Grassland: Annual,,,Biomass Turnover: Fine Roots -> BG Very Fast [Type],,0.25,,,,,
,,,,,Grassland: Annual,,,Biomass Turnover: Foliage -> AG Very Fast [Type],,0.5,,,,,
,,,,,Grassland: Annual,,,Biomass Turnover: Merchantable -> Snag Stems [Type],,0.005,,,,,
,,,,,Grassland: Annual,,,Biomass Turnover: Other Wood -> AG Fast [Type],,0.03,,,,,
,,,,,Grassland: Annual,,,Biomass Turnover: Other Wood -> Snag Branches [Type],,0.01,,,,,
,,,,,Grassland: Annual,,,Decay: AG Fast -> AG Slow [Type],,0.024,,,,,
,,,,,Grassland: Annual,,,Decay: AG Medium -> AG Slow [Type],,0.0062,,,,,
,,,,,Grassland: Annual,,,Decay: AG Very Fast -> AG Slow [Type],,0.064,,,,,
,,,,,Grassland: Annual,,,Decay: BG Fast -> BG Slow [Type],,0.024,,,,,
,,,,,Grassland: Annual,,,Decay: BG Very Fast -> BG Slow [Type],,0.0835,,,,,
,,,,,Grassland: Annual,,,Decay: Snag Branch -> AG Slow [Type],,0.012,,,,,
,,,,,Grassland: Annual,,,Decay: Snag Stem -> AG Slow [Type],,0.0031,,,,,
,,,,,Grassland: Annual,,,Emission: AG Fast -> Atmosphere [Type],,0.117,,,,,
,,,,,Grassland: Annual,,,Emission: AG Medium -> Atmosphere [Type],,0.0305,,,,,
,,,,,Grassland: Annual,,,Emission: AG Slow -> Atmosphere [Type],,0.0146,,,,,
,,,,,Grassland: Annual,,,Emission: AG Very Fast -> Atmosphere [Type],,0.2822,,,,,
,,,,,Grassland: Annual,,,Emission: BG Fast -> Atmosphere [Type],,0.117,,,,,
,,,,,Grassland: Annual,,,Emission: BG Slow -> Atmosphere [Type],,0.0033,,,,,
,,,,,Grassland: Annual,,,Emission: BG Very Fast -> Atmosphere [Type],,0.4077,,,,,
,,,,,Grassland: Annual,,,Emission: Snag Branch -> Atmosphere [Type],,0.0585,,,,,
,,,,,Grassland: Annual,,,Emission: Snag Stem -> Atmosphere [Type],,0.0152,,,,,
,,,,,Grassland: Annual,,,Net Growth Non Forest: Atmosphere -> Coarse Roots [Type],,0,,,,,
,,,,,Grassland: Annual,,,Net Growth Non Forest: Atmosphere -> Fine Roots [Type],,0.535,,,,,
,,,,,Grassland: Annual,,,Net Growth Non Forest: Atmosphere -> Foliage [Type],,0.465,,,,,
,,,,,Grassland: Annual,,,Net Growth Non Forest: Atmosphere -> Merchantable [Type],,0,,,,,
,,,,,Grassland: Annual,,,Net Growth Non Forest: Atmosphere -> Other Wood [Type],,0,,,,,
,,,,,Grassland: Annual,,,Transfer: AG Slow -> BG Slow [Type],,0.006,,,,,
,,,,,Grassland: Annual,,,Transfer: Snag Branch -> AG Fast [Type],,0.1,,,,,
,,,,,Grassland: Annual,,,Transfer: Snag Stem -> AG Medium [Type],,0.032,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Biomass Turnover: Coarse Roots -> AG Fast [Type],,0.02,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Biomass Turnover: Coarse Roots -> BG Fast [Type],,0.02,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Biomass Turnover: Fine Roots -> AG Very Fast [Type],,0.2493,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Biomass Turnover: Fine Roots -> BG Very Fast [Type],,0.2493,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Biomass Turnover: Foliage -> AG Very Fast [Type],,0.5024,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Biomass Turnover: Merchantable -> Snag Stems [Type],,0.005,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Biomass Turnover: Other Wood -> AG Fast [Type],,0.03,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Biomass Turnover: Other Wood -> Snag Branches [Type],,0.01,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Decay: AG Fast -> AG Slow [Type],,0.0298,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Decay: AG Medium -> AG Slow [Type],,0.0078,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Decay: AG Very Fast -> AG Slow [Type],,0.0871,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Decay: BG Fast -> BG Slow [Type],,0.0298,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Decay: BG Very Fast -> BG Slow [Type],,0.1039,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Decay: Snag Branch -> AG Slow [Type],,0.0149,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Decay: Snag Stem -> AG Slow [Type],,0.0039,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Emission: AG Fast -> Atmosphere [Type],,0.1455,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Emission: AG Medium -> Atmosphere [Type],,0.0379,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Emission: AG Slow -> Atmosphere [Type],,0.0199,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Emission: AG Very Fast -> Atmosphere [Type],,0.3836,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Emission: BG Fast -> Atmosphere [Type],,0.1455,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Emission: BG Slow -> Atmosphere [Type],,0.0033,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Emission: BG Very Fast -> Atmosphere [Type],,0.5071,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Emission: Snag Branch -> Atmosphere [Type],,0.0728,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Emission: Snag Stem -> Atmosphere [Type],,0.019,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Net Growth Non Forest: Atmosphere -> Coarse Roots [Type],,0.1231,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Net Growth Non Forest: Atmosphere -> Fine Roots [Type],,0.348,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Net Growth Non Forest: Atmosphere -> Foliage [Type],,0.2824,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Net Growth Non Forest: Atmosphere -> Merchantable [Type],,0,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Net Growth Non Forest: Atmosphere -> Other Wood [Type],,0.2463,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Transfer: AG Slow -> BG Slow [Type],,0.006,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Transfer: Snag Branch -> AG Fast [Type],,0.1,,,,,
,,,,,Shrubland: Native Sage Steppe,,,Transfer: Snag Stem -> AG Medium [Type],,0.032,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Biomass Turnover: Coarse Roots -> AG Fast [Type],,0.0238,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Biomass Turnover: Coarse Roots -> BG Fast [Type],,0.0238,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Biomass Turnover: Fine Roots -> AG Very Fast [Type],,0.2501,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Biomass Turnover: Fine Roots -> BG Very Fast [Type],,0.2501,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Biomass Turnover: Foliage -> AG Very Fast [Type],,0.5003,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Biomass Turnover: Merchantable -> Snag Stems [Type],,0.005,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Biomass Turnover: Other Wood -> AG Fast [Type],,0.0357,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Biomass Turnover: Other Wood -> Snag Branches [Type],,0.0119,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Decay: AG Fast -> AG Slow [Type],,0.0298,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Decay: AG Medium -> AG Slow [Type],,0.0078,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Decay: AG Very Fast -> AG Slow [Type],,0.0871,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Decay: BG Fast -> BG Slow [Type],,0.0298,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Decay: BG Very Fast -> BG Slow [Type],,0.1039,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Decay: Snag Branch -> AG Slow [Type],,0.0149,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Decay: Snag Stem -> AG Slow [Type],,0.0039,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Emission: AG Fast -> Atmosphere [Type],,0.1455,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Emission: AG Medium -> Atmosphere [Type],,0.0379,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Emission: AG Slow -> Atmosphere [Type],,0.0199,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Emission: AG Very Fast -> Atmosphere [Type],,0.3836,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Emission: BG Fast -> Atmosphere [Type],,0.1455,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Emission: BG Slow -> Atmosphere [Type],,0.0033,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Emission: BG Very Fast -> Atmosphere [Type],,0.5071,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Emission: Snag Branch -> Atmosphere [Type],,0.0728,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Emission: Snag Stem -> Atmosphere [Type],,0.019,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Net Growth Non Forest: Atmosphere -> Coarse Roots [Type],,0.0978,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Net Growth Non Forest: Atmosphere -> Fine Roots [Type],,0.3882,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Net Growth Non Forest: Atmosphere -> Foliage [Type],,0.3182,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Net Growth Non Forest: Atmosphere -> Merchantable [Type],,0,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Net Growth Non Forest: Atmosphere -> Other Wood [Type],,0.1956,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Transfer: AG Slow -> BG Slow [Type],,0.006,,,,,
,,,,,Shrubland: Post Fire Shrub,,,Transfer: Snag Branch -> AG Fast [Type],,0.1,,,,,
