Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,AgeMin,AgeMax,FlowGroupID,FlowMultiplierTypeID,Value,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,,,,Agriculture: Cropland,,,Biomass Turnover: Coarse Roots -> AG Fast [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Biomass Turnover: Coarse Roots -> BG Fast [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Biomass Turnover: Fine Roots -> AG Very Fast [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Biomass Turnover: Fine Roots -> BG Very Fast [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Biomass Turnover: Foliage -> AG Very Fast [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Biomass Turnover: Merchantable -> Snag Stems [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Biomass Turnover: Other Wood -> AG Fast [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Biomass Turnover: Other Wood -> Snag Branches [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Decay: AG Fast -> AG Slow [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Decay: AG Medium -> AG Slow [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Decay: AG Very Fast -> AG Slow [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Decay: BG Fast -> BG Slow [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Decay: BG Very Fast -> BG Slow [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Decay: Snag Branch -> AG Slow [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Decay: Snag Stem -> AG Slow [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Emission: AG Fast -> Atmosphere [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Emission: AG Medium -> Atmosphere [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Emission: AG Slow -> Atmosphere [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Emission: AG Very Fast -> Atmosphere [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Emission: BG Fast -> Atmosphere [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Emission: BG Slow -> Atmosphere [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Emission: BG Very Fast -> Atmosphere [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Emission: Snag Branch -> Atmosphere [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Emission: Snag Stem -> Atmosphere [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Net Growth Forest: Atmosphere -> Foliage [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Transfer: AG Slow -> BG Slow [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Transfer: Snag Branch -> AG Fast [Type],,0.0000,,,,,
,,,,,Agriculture: Cropland,,,Transfer: Snag Stem -> AG Medium [Type],,0.0000,,,,,
,,,,,Agriculture: Pasture,,,Biomass Turnover: Coarse Roots -> AG Fast [Type],,0.0000,,,,,
,,,,,Agriculture: Pasture,,,Biomass Turnover: Coarse Roots -> BG Fast [Type],,0.0000,,,,,
,,,,,Agriculture: Pasture,,,Biomass Turnover: Fine Roots -> AG Very Fast [Type],,0.0000,,,,,
,,,,,Agriculture: Pasture,,,Biomass Turnover: Fine Roots -> BG Very Fast [Type],,0.0000,,,,,
,,,,,Agriculture: Pasture,,,Biomass Turnover: Foliage -> AG Very Fast [Type],,0.0000,,,,,
,,,,,Agriculture: Pasture,,,Biomass Turnover: Merchantable -> Snag Stems [Type],,0.0000,,,,,
,,,,,Agriculture: Pasture,,,Biomass Turnover: Other Wood -> AG Fast [Type],,0.0000,,,,,
,,,,,Agriculture: Pasture,,,Biomass Turnover: Other Wood -> Snag Branches [Type],,0.0000,,,,,
,,,,,Agriculture: Pasture,,,Decay: AG Fast -> AG Slow [Type],,0.0000,,,,,
,,,,,Agriculture: Pasture,,,Decay: AG Medium -> AG Slow [Type],,0.0000,,,,,
,,,,,Agriculture: Pasture,,,Decay: AG Very Fast -> AG Slow [Type],,0.0000,,,,,
,,,,,Agriculture: Pasture,,,Decay: BG Fast -> BG Slow [Type],,0.0000,,,,,
,,,,,Agriculture: Pasture,,,Decay: BG Very Fast -> BG Slow [Type],,0.0000,,,,,
,,,,,Agriculture: Pasture,,,Decay: Snag Branch -> AG Slow [Type],,0.0000,,,,,
,,,,,Agriculture: Pasture,,,Decay: Snag Stem -> AG Slow [Type],,0.0000,,,,,
,,,,,Agriculture: Pasture,,,Emission: AG Fast -> Atmosphere [Type],,0.0000,,,,,
,,,,,Agriculture: Pasture,,,Emission: AG Medium -> Atmosphere [Type],,0.0000,,,,,
,,,,,Agriculture: Pasture,,,Emission: AG Slow -> Atmosphere [Type],,0.0000,,,,,
