Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,AgeMin,AgeMax,FlowGroupID,FlowMultiplierTypeID,Value,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,,,,,Wetland: Estuarine Emergent,,,AG Very Fast ->,,0.6045,,,,,
,,,,,Wetland: Estuarine Emergent,,,BG Slow ->,,0.0327,,,,,
,,,,,Wetland: Estuarine Emergent,,,BG Very Fast ->,,0.5587,,,,,
,,,,,Wetland: Estuarine Emergent,,,Biomass Turnover: Coarse Roots -> AG Fast [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,Biomass Turnover: Coarse Roots -> BG Fast [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,Biomass Turnover: Fine Roots -> AG Very Fast [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,Biomass Turnover: Fine Roots -> BG Very Fast [Type],,0.8483,,,,,
,,,,,Wetland: Estuarine Emergent,,,Biomass Turnover: Foliage -> AG Very Fast [Type],,0.7984,,,,,
,,,,,Wetland: Estuarine Emergent,,,Biomass Turnover: Merchantable -> Snag Stems [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,Biomass Turnover: Other Wood -> AG Fast [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,Biomass Turnover: Other Wood -> Snag Branches [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,Decay: AG Fast -> AG Slow [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,Decay: AG Medium -> AG Slow [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,Decay: AG Very Fast -> AG Slow [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,Decay: BG Fast -> BG Slow [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,Decay: BG Very Fast -> BG Slow [Type],,0.6286,,,,,
,,,,,Wetland: Estuarine Emergent,,,Decay: Snag Branch -> AG Slow [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,Decay: Snag Stem -> AG Slow [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,Emission: AG Fast -> Atmosphere [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,Emission: AG Medium -> Atmosphere [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,Emission: AG Slow -> Atmosphere [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,Emission: AG Very Fast -> Atmosphere [Type],,0.8181,,,,,
,,,,,Wetland: Estuarine Emergent,,,Emission: BG Fast -> Atmosphere [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,Emission: BG Slow -> Atmosphere [Type],,0.6611,,,,,
,,,,,Wetland: Estuarine Emergent,,,Emission: BG Very Fast -> Atmosphere [Type],,0.3038,,,,,
,,,,,Wetland: Estuarine Emergent,,,Emission: Snag Branch -> Atmosphere [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,Emission: Snag Stem -> Atmosphere [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,Lateral Transport: AG Very Fast -> Aquatic [Type],,0.1819,,,,,
,,,,,Wetland: Estuarine Emergent,,,Lateral Transport: BG Slow -> Aquatic [Type],,0.147,,,,,
,,,,,Wetland: Estuarine Emergent,,,Lateral Transport: BG Very Fast -> Aquatic [Type],,0.0676,,,,,
,,,,,Wetland: Estuarine Emergent,,,LULC: Emission DOM CH4 [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,LULC: Emission DOM CO [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,LULC: Emission DOM CO2 [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,LULC: Emission Live CH4 [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,LULC: Emission Live CO [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,LULC: Emission Live CO2 [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,LULC: Harvest DOM [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,LULC: Harvest Live [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,LULC: Mortality Live [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,LULC: Transfer DOM [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,Net Growth Wetland Emergent: Atmosphere -> Fine Roots [Type],,0.801,,,,,
,,,,,Wetland: Estuarine Emergent,,,Net Growth Wetland Emergent: Atmosphere -> Foliage [Type],,0.199,,,,,
,,,,,Wetland: Estuarine Emergent,,,Stabilization: BG Slow -> Deep Soil [Type],,0.1919,,,,,
,,,,,Wetland: Estuarine Emergent,,,Transfer: AG Slow -> BG Slow [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,Transfer: Snag Branch -> AG Fast [Type],,0,,,,,
,,,,,Wetland: Estuarine Emergent,,,Transfer: Snag Stem -> AG Medium [Type],,0,,,,,
,,,,,Wetland: Estuarine Forested,,,Biomass Turnover: Coarse Roots -> AG Fast [Type],,0.01,,,,,
,,,,,Wetland: Estuarine Forested,,,Biomass Turnover: Coarse Roots -> BG Fast [Type],,0.01,,,,,
,,,,,Wetland: Estuarine Forested,,,Biomass Turnover: Fine Roots -> AG Very Fast [Type],,0.3205,,,,,
,,,,,Wetland: Estuarine Forested,,,Biomass Turnover: Fine Roots -> BG Very Fast [Type],,0.3205,,,,,
,,,,,Wetland: Estuarine Forested,,,Biomass Turnover: Foliage -> AG Very Fast [Type],,0.95,,,,,
,,,,,Wetland: Estuarine Forested,,,Biomass Turnover: Merchantable -> Snag Stems [Type],,0.0067,,,,,
,,,,,Wetland: Estuarine Forested,,,Biomass Turnover: Other Wood -> AG Fast [Type],,0.03,,,,,
,,,,,Wetland: Estuarine Forested,,,Biomass Turnover: Other Wood -> Snag Branches [Type],,0.01,,,,,
,,,,,Wetland: Estuarine Forested,,,Decay: AG Fast -> AG Slow [Type],,0.0463,,,,,
,,,,,Wetland: Estuarine Forested,,,Decay: AG Medium -> AG Slow [Type],,0.0121,,,,,
,,,,,Wetland: Estuarine Forested,,,Decay: AG Very Fast -> AG Slow [Type],,0.1615,,,,,
,,,,,Wetland: Estuarine Forested,,,Decay: BG Fast -> BG Slow [Type],,0.0463,,,,,
,,,,,Wetland: Estuarine Forested,,,Decay: BG Very Fast -> BG Slow [Type],,0.1612,,,,,
,,,,,Wetland: Estuarine Forested,,,Decay: Snag Branch -> AG Slow [Type],,0.0231,,,,,
,,,,,Wetland: Estuarine Forested,,,Decay: Snag Stem -> AG Slow [Type],,0.006,,,,,
,,,,,Wetland: Estuarine Forested,,,Emission: AG Fast -> Atmosphere [Type],,0.2258,,,,,
,,,,,Wetland: Estuarine Forested,,,Emission: AG Medium -> Atmosphere [Type],,0.0589,,,,,
,,,,,Wetland: Estuarine Forested,,,Emission: AG Slow -> Atmosphere [Type],,0.0369,,,,,
,,,,,Wetland: Estuarine Forested,,,Emission: AG Very Fast -> Atmosphere [Type],,0.7113,,,,,
,,,,,Wetland: Estuarine Forested,,,Emission: BG Fast -> Atmosphere [Type],,0.2258,,,,,
,,,,,Wetland: Estuarine Forested,,,Emission: BG Slow -> Atmosphere [Type],,0.0033,,,,,
,,,,,Wetland: Estuarine Forested,,,Emission: BG Very Fast -> Atmosphere [Type],,0.7869,,,,,
,,,,,Wetland: Estuarine Forested,,,Emission: Snag Branch -> Atmosphere [Type],,0.1129,,,,,
,,,,,Wetland: Estuarine Forested,,,Emission: Snag Stem -> Atmosphere [Type],,0.0294,,,,,
,,,,,Wetland: Estuarine Forested,,,Transfer: AG Slow -> BG Slow [Type],,0.006,,,,,
,,,,,Wetland: Estuarine Forested,,,Transfer: Snag Branch -> AG Fast [Type],,0.1,,,,,
,,,,,Wetland: Estuarine Forested,,,Transfer: Snag Stem -> AG Medium [Type],,0.032,,,,,
,,,,,Wetland: Estuarine Forested,0,0,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.34,,,,,
,,,,,Wetland: Estuarine Forested,0,0,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.2066,,,,,
,,,,,Wetland: Estuarine Forested,0,0,Net Growth Forest: Atmosphere -> Foliage [Type],,0.0303,,,,,
,,,,,Wetland: Estuarine Forested,0,0,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.105,,,,,
,,,,,Wetland: Estuarine Forested,0,0,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.3181,,,,,
,,,,,Wetland: Estuarine Forested,1,1,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.2297,,,,,
,,,,,Wetland: Estuarine Forested,1,1,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.211,,,,,
,,,,,Wetland: Estuarine Forested,1,1,Net Growth Forest: Atmosphere -> Foliage [Type],,0.0535,,,,,
,,,,,Wetland: Estuarine Forested,1,1,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.1688,,,,,
,,,,,Wetland: Estuarine Forested,1,1,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.337,,,,,
,,,,,Wetland: Estuarine Forested,2,2,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.193,,,,,
,,,,,Wetland: Estuarine Forested,2,2,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.2216,,,,,
,,,,,Wetland: Estuarine Forested,2,2,Net Growth Forest: Atmosphere -> Foliage [Type],,0.0728,,,,,
,,,,,Wetland: Estuarine Forested,2,2,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.1964,,,,,
,,,,,Wetland: Estuarine Forested,2,2,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.3162,,,,,
,,,,,Wetland: Estuarine Forested,3,3,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.1711,,,,,
,,,,,Wetland: Estuarine Forested,3,3,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.23,,,,,
,,,,,Wetland: Estuarine Forested,3,3,Net Growth Forest: Atmosphere -> Foliage [Type],,0.0901,,,,,
,,,,,Wetland: Estuarine Forested,3,3,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2136,,,,,
,,,,,Wetland: Estuarine Forested,3,3,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.2952,,,,,
,,,,,Wetland: Estuarine Forested,4,4,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.1559,,,,,
,,,,,Wetland: Estuarine Forested,4,4,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.2367,,,,,
,,,,,Wetland: Estuarine Forested,4,4,Net Growth Forest: Atmosphere -> Foliage [Type],,0.106,,,,,
,,,,,Wetland: Estuarine Forested,4,4,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2254,,,,,
,,,,,Wetland: Estuarine Forested,4,4,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.276,,,,,
,,,,,Wetland: Estuarine Forested,5,5,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.1443,,,,,
,,,,,Wetland: Estuarine Forested,5,5,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.2423,,,,,
,,,,,Wetland: Estuarine Forested,5,5,Net Growth Forest: Atmosphere -> Foliage [Type],,0.1209,,,,,
,,,,,Wetland: Estuarine Forested,5,5,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2337,,,,,
,,,,,Wetland: Estuarine Forested,5,5,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.2589,,,,,
,,,,,Wetland: Estuarine Forested,6,6,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.1351,,,,,
,,,,,Wetland: Estuarine Forested,6,6,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.2471,,,,,
,,,,,Wetland: Estuarine Forested,6,6,Net Growth Forest: Atmosphere -> Foliage [Type],,0.1348,,,,,
,,,,,Wetland: Estuarine Forested,6,6,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2394,,,,,
,,,,,Wetland: Estuarine Forested,6,6,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.2435,,,,,
,,,,,Wetland: Estuarine Forested,7,7,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.1274,,,,,
,,,,,Wetland: Estuarine Forested,7,7,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.2515,,,,,
,,,,,Wetland: Estuarine Forested,7,7,Net Growth Forest: Atmosphere -> Foliage [Type],,0.1481,,,,,
,,,,,Wetland: Estuarine Forested,7,7,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2432,,,,,
,,,,,Wetland: Estuarine Forested,7,7,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.2298,,,,,
,,,,,Wetland: Estuarine Forested,8,8,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.1209,,,,,
,,,,,Wetland: Estuarine Forested,8,8,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.2556,,,,,
,,,,,Wetland: Estuarine Forested,8,8,Net Growth Forest: Atmosphere -> Foliage [Type],,0.1608,,,,,
,,,,,Wetland: Estuarine Forested,8,8,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2452,,,,,
,,,,,Wetland: Estuarine Forested,8,8,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.2174,,,,,
,,,,,Wetland: Estuarine Forested,9,9,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.1153,,,,,
,,,,,Wetland: Estuarine Forested,9,9,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.2595,,,,,
,,,,,Wetland: Estuarine Forested,9,9,Net Growth Forest: Atmosphere -> Foliage [Type],,0.173,,,,,
,,,,,Wetland: Estuarine Forested,9,9,Net Growth Forest: Atmosphere -> Merchantable [Type],,0.2459,,,,,
,,,,,Wetland: Estuarine Forested,9,9,Net Growth Forest: Atmosphere -> Other Wood [Type],,0.2063,,,,,
,,,,,Wetland: Estuarine Forested,10,10,Net Growth Forest: Atmosphere -> Coarse Roots [Type],,0.1104,,,,,
,,,,,Wetland: Estuarine Forested,10,10,Net Growth Forest: Atmosphere -> Fine Roots [Type],,0.2633,,,,,
,,,,,Wetland: Estuarine Forested,10,10,Net Growth Forest: Atmosphere -> Foliage [Type],,0.1846,,,,,
