Iteration,Timestep,FromStratumID,FromSecondaryStratumID,FromTertiaryStratumID,FromStateClassID,FromAgeMin,FromStockTypeID,ToStratumID,ToStateClassID,ToAgeMin,ToStockTypeID,TransitionGroupID,StateAttributeTypeID,FlowTypeID,TargetType,Multiplier,TransferToStratumID,TransferToSecondaryStratumID,TransferToTertiaryStratumID,TransferToStateClassID,TransferToAgeMin
,,,,,,,Biomass: Coarse Root,,,,Atmosphere: CH4,Urbanization,,LULC: Emission Live CH4,,0.0101,,,,,
,,,,,,,Biomass: Coarse Root,,,,Atmosphere: CO,Urbanization,,LULC: Emission Live CO,,0.0899,,,,,
,,,,,,,Biomass: Coarse Root,,,,Atmosphere: CO2,Urbanization,,LULC: Emission Live CO2,,0.9000,,,,,
,,,,,,,Biomass: Coarse Root,,,,DOM: Aboveground Fast,Ag Expansion,,LULC: Mortality Live,,0.5000,,,,,
,,,,,,,Biomass: Coarse Root,,,,DOM: Aboveground Fast,Fire: High Severity [Type],,LULC: Mortality Live,,0.4750,,,,,
,,,,,,,Biomass: Coarse Root,,,,DOM: Aboveground Fast,Fire: Low Severity [Type],,LULC: Mortality Live,,0.1075,,,,,
,,,,,,,Biomass: Coarse Root,,,,DOM: Aboveground Fast,Fire: Medium Severity [Type],,LULC: Mortality Live,,0.2675,,,,,
,,,,,,,Biomass: Coarse Root,,,,DOM: Aboveground Fast,Forest Harvest: Forest Clearcut [Type],,LULC: Mortality Live,,0.5000,,,,,
,,,,,,,Biomass: Coarse Root,,,,DOM: Aboveground Fast,Forest Harvest: Forest Selection [Type],,LULC: Mortality Live,,0.2500,,,,,
,,,,,,,Biomass: Coarse Root,,,,DOM: Aboveground Fast,Forest Harvest: Forest Selection 20% [Type],,LULC: Mortality Live,,0.1000,,,,,
,,,,,,,Biomass: Coarse Root,,,,DOM: Aboveground Fast,Forest Harvest: Forest Selection 85% [Type],,LULC: Mortality Live,,0.4500,,,,,
,,,,,,,Biomass: Coarse Root,,,,DOM: Aboveground Fast,Forest Harvest: Salvage Logging [Type],,LULC: Mortality Live,,0.5000,,,,,
,,,,,,,Biomass: Coarse Root,,,,DOM: Aboveground Fast,Insect: High Severity [Type],,LULC: Mortality Live,,0.1500,,,,,
,,,,,,,Biomass: Coarse Root,,,,DOM: Aboveground Fast,Insect: Low Severity [Type],,LULC: Mortality Live,,0.0250,,,,,
,,,,,,,Biomass: Coarse Root,,,,DOM: Aboveground Fast,Insect: Medium Severity [Type],,LULC: Mortality Live,,0.0500,,,,,
,,,,,,,Biomass: Coarse Root,,,,DOM: Belowground Fast,Ag Expansion,,LULC: Mortality Live,,0.5000,,,,,
,,,,,,,Biomass: Coarse Root,,,,DOM: Belowground Fast,Fire: High Severity [Type],,LULC: Mortality Live,,0.4750,,,,,
,,,,,,,Biomass: Coarse Root,,,,DOM: Belowground Fast,Fire: Low Severity [Type],,LULC: Mortality Live,,0.1075,,,,,
,,,,,,,Biomass: Coarse Root,,,,DOM: Belowground Fast,Fire: Medium Severity [Type],,LULC: Mortality Live,,0.2675,,,,,
,,,,,,,Biomass: Coarse Root,,,,DOM: Belowground Fast,Forest Harvest: Forest Clearcut [Type],,LULC: Mortality Live,,0.5000,,,,,
,,,,,,,Biomass: Coarse Root,,,,DOM: Belowground Fast,Forest Harvest: Forest Selection [Type],,LULC: Mortality Live,,0.2500,,,,,
,,,,,,,Biomass: Coarse Root,,,,DOM: Belowground Fast,Forest Harvest: Forest Selection 20% [Type],,LULC: Mortality Live,,0.1000,,,,,
,,,,,,,Biomass: Coarse Root,,,,DOM: Belowground Fast,Forest Harvest: Forest Selection 85% [Type],,LULC: Mortality Live,,0.4000,,,,,
,,,,,,,Biomass: Coarse Root,,,,DOM: Belowground Fast,Insect: High Severity [Type],,LULC: Mortality Live,,0.1500,,,,,
,,,,,,,Biomass: Coarse Root,,,,DOM: Belowground Fast,Insect: Low Severity [Type],,LULC: Mortality Live,,0.0250,,,,,
,,,,,,,Biomass: Coarse Root,,,,DOM: Belowground Fast,Insect: Medium Severity [Type],,LULC: Mortality Live,,0.0500,,,,,
,,,,,,,Biomass: Fine Root,,,,Atmosphere: CH4,Fire: High Severity [Type],,LULC: Emission Live CH4,,0.0008,,,,,
,,,,,,,Biomass: Fine Root,,,,Atmosphere: CH4,Fire: Low Severity [Type],,LULC: Emission Live CH4,,0.0004,,,,,
,,,,,,,Biomass: Fine Root,,,,Atmosphere: CH4,Fire: Medium Severity [Type],,LULC: Emission Live CH4,,0.0004,,,,,
,,,,,,,Biomass: Fine Root,,,,Atmosphere: CH4,Urbanization,,LULC: Emission Live CH4,,0.0101,,,,,
,,,,,,,Biomass: Fine Root,,,,Atmosphere: CO,Fire: High Severity [Type],,LULC: Emission Live CO,,0.0072,,,,,
,,,,,,,Biomass: Fine Root,,,,Atmosphere: CO,Fire: Low Severity [Type],,LULC: Emission Live CO,,0.0036,,,,,
,,,,,,,Biomass: Fine Root,,,,Atmosphere: CO,Fire: Medium Severity [Type],,LULC: Emission Live CO,,0.0036,,,,,
,,,,,,,Biomass: Fine Root,,,,Atmosphere: CO,Urbanization,,LULC: Emission Live CO,,0.0899,,,,,
,,,,,,,Biomass: Fine Root,,,,Atmosphere: CO2,Fire: High Severity [Type],,LULC: Emission Live CO2,,0.0720,,,,,
,,,,,,,Biomass: Fine Root,,,,Atmosphere: CO2,Fire: Low Severity [Type],,LULC: Emission Live CO2,,0.0360,,,,,
,,,,,,,Biomass: Fine Root,,,,Atmosphere: CO2,Fire: Medium Severity [Type],,LULC: Emission Live CO2,,0.0360,,,,,
,,,,,,,Biomass: Fine Root,,,,Atmosphere: CO2,Urbanization,,LULC: Emission Live CO2,,0.9000,,,,,
,,,,,,,Biomass: Fine Root,,,,DOM: Aboveground Very Fast,Ag Expansion,,LULC: Mortality Live,,0.5000,,,,,
,,,,,,,Biomass: Fine Root,,,,DOM: Aboveground Very Fast,Fire: High Severity [Type],,LULC: Mortality Live,,0.4350,,,,,
,,,,,,,Biomass: Fine Root,,,,DOM: Aboveground Very Fast,Fire: Low Severity [Type],,LULC: Mortality Live,,0.0875,,,,,
,,,,,,,Biomass: Fine Root,,,,DOM: Aboveground Very Fast,Fire: Medium Severity [Type],,LULC: Mortality Live,,0.2475,,,,,
,,,,,,,Biomass: Fine Root,,,,DOM: Aboveground Very Fast,Forest Harvest: Forest Clearcut [Type],,LULC: Mortality Live,,0.5000,,,,,
,,,,,,,Biomass: Fine Root,,,,DOM: Aboveground Very Fast,Forest Harvest: Forest Selection [Type],,LULC: Mortality Live,,0.2500,,,,,
,,,,,,,Biomass: Fine Root,,,,DOM: Aboveground Very Fast,Forest Harvest: Forest Selection 20% [Type],,LULC: Mortality Live,,0.1000,,,,,
