Iteration,Timestep,StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,SecondaryStratumID,TertiaryStratumID,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
,,,Agriculture: Cropland,,Forest: Alder/Maple Group,,,Ag Contraction: Alder/Maple Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Aspen/Birch Group,,,Ag Contraction: Aspen/Birch Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: California Mixed Conifer Group,,,Ag Contraction: California Mixed Conifer Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Douglas-fir Coastal Group,,,Ag Contraction: Douglas-fir Coastal Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Douglas-fir Inland Group,,,Ag Contraction: Douglas-fir Inland Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Elm/Ash/Cottonwood Group,,,Ag Contraction: Elm/Ash/Cottonwood Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Exotic Hardwoods Group,,,Ag Contraction: Exotic Hardwoods Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Exotic Softwoods Group,,,Ag Contraction: Exotic Softwoods Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Fir/Spruce/Mountain Hemlock Group,,,Ag Contraction: Fir/Spruce/Mountain Hemlock Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Hemlock/Sitka Spruce Group,,,Ag Contraction: Hemlock/Sitka Spruce Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Loblolly/Shortleaf Pine Group,,,Ag Contraction: Loblolly/Shortleaf Pine Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Lodgepole Pine Group,,,Ag Contraction: Lodgepole Pine Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Longleaf/Slash Pine Group,,,Ag Contraction: Longleaf/Slash Pine Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Maple/Beech/Birch Group,,,Ag Contraction: Maple/Beech/Birch Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Oak/Gum/Cypress Group,,,Ag Contraction: Oak/Gum/Cypress Group,1,,,,,,,,
,,,Agriculture: Cropland,,Forest: Oak/Hickory Group,,,Ag Contraction: Oak/Hickory Group,1,,,,,,,,
