Iteration,Timestep,StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,SecondaryStratumID,TertiaryStratumID,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
,,,Forest: Alder/Maple Group,,Forest: Alder/Maple Group,,,Fire: Low Severity,1,,,,,No,,,
,,,Forest: Alder/Maple Group,,Forest: Alder/Maple Group,,,Fire: Medium Severity,1,,,,,No,,,
,,,Forest: Alder/Maple Group,,Shrubland: Post Fire Shrub,,,Fire: High Severity,1,,,,,Yes,,,
,,,Forest: Aspen/Birch Group,,Forest: Aspen/Birch Group,,,Fire: Low Severity,1,,,,,No,,,
,,,Forest: Aspen/Birch Group,,Forest: Aspen/Birch Group,,,Fire: Medium Severity,1,,,,,No,,,
,,,Forest: Aspen/Birch Group,,Shrubland: Post Fire Shrub,,,Fire: High Severity,1,,,,,Yes,,,
,,,Forest: California Mixed Conifer Group,,Forest: California Mixed Conifer Group,,,Fire: Low Severity,1,,,,,No,,,
,,,Forest: California Mixed Conifer Group,,Forest: California Mixed Conifer Group,,,Fire: Medium Severity,1,,,,,No,,,
,,,Forest: California Mixed Conifer Group,,Shrubland: Post Fire Shrub,,,Fire: High Severity,1,,,,,Yes,,,
,,,Forest: Douglas-fir Coastal Group,,Forest: Douglas-fir Coastal Group,,,Fire: Low Severity,1,,,,,No,,,
,,,Forest: Douglas-fir Coastal Group,,Forest: Douglas-fir Coastal Group,,,Fire: Medium Severity,1,,,,,No,,,
,,,Forest: Douglas-fir Coastal Group,,Shrubland: Post Fire Shrub,,,Fire: High Severity,1,,,,,Yes,,,
,,,Forest: Douglas-fir Inland Group,,Forest: Douglas-fir Inland Group,,,Fire: Low Severity,1,,,,,No,,,
,,,Forest: Douglas-fir Inland Group,,Forest: Douglas-fir Inland Group,,,Fire: Medium Severity,1,,,,,No,,,
,,,Forest: Douglas-fir Inland Group,,Shrubland: Post Fire Shrub,,,Fire: High Severity,1,,,,,Yes,,,
,,,Forest: Elm/Ash/Cottonwood Group,,Forest: Elm/Ash/Cottonwood Group,,,Fire: Low Severity,1,,,,,No,,,
,,,Forest: Elm/Ash/Cottonwood Group,,Forest: Elm/Ash/Cottonwood Group,,,Fire: Medium Severity,1,,,,,No,,,
,,,Forest: Elm/Ash/Cottonwood Group,,Shrubland: Post Fire Shrub,,,Fire: High Severity,1,,,,,Yes,,,
,,,Forest: Exotic Hardwoods Group,,Forest: Exotic Hardwoods Group,,,Fire: Low Severity,1,,,,,No,,,
,,,Forest: Exotic Hardwoods Group,,Forest: Exotic Hardwoods Group,,,Fire: Medium Severity,1,,,,,No,,,
,,,Forest: Exotic Hardwoods Group,,Shrubland: Post Fire Shrub,,,Fire: High Severity,1,,,,,Yes,,,
