Iteration,Timestep,StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,SecondaryStratumID,TertiaryStratumID,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
,,,Forest: Alder/Maple Group,,Forest: Alder/Maple Group,,,Forest Harvest: Forest Clearcut,1.0000,,,,,,,,
,,,Forest: Alder/Maple Group,,Forest: Alder/Maple Group,,,Forest Harvest: Forest Selection,1.0000,,,,,No,,,
,,,Forest: Alder/Maple Group,,Forest: Alder/Maple Group,,,Forest Harvest: Forest Selection 20%,1.0000,,,,,No,,,
,,,Forest: Alder/Maple Group,,Forest: Alder/Maple Group,,,Forest Harvest: Forest Selection 85%,1.0000,,,,,,,,
,,,Forest: Alder/Maple Group,,Forest: Alder/Maple Group,,,Forest Harvest: Salvage Logging,1.0000,,,,,No,,5,
,,,Forest: Aspen/Birch Group,,Forest: Aspen/Birch Group,,,Forest Harvest: Forest Clearcut,1.0000,,,,,,,,
,,,Forest: Aspen/Birch Group,,Forest: Aspen/Birch Group,,,Forest Harvest: Forest Selection,1.0000,,,,,No,,,
,,,Forest: Aspen/Birch Group,,Forest: Aspen/Birch Group,,,Forest Harvest: Forest Selection 20%,1.0000,,,,,No,,,
,,,Forest: Aspen/Birch Group,,Forest: Aspen/Birch Group,,,Forest Harvest: Forest Selection 85%,1.0000,,,,,,,,
,,,Forest: Aspen/Birch Group,,Forest: Aspen/Birch Group,,,Forest Harvest: Salvage Logging,1.0000,,,,,No,,5,
,,,Forest: California Mixed Conifer Group,,Forest: California Mixed Conifer Group,,,Forest Harvest: Forest Clearcut,1.0000,,,,,,,,
,,,Forest: California Mixed Conifer Group,,Forest: California Mixed Conifer Group,,,Forest Harvest: Forest Selection,1.0000,,,,,No,,,
,,,Forest: California Mixed Conifer Group,,Forest: California Mixed Conifer Group,,,Forest Harvest: Forest Selection 20%,1.0000,,,,,No,,,
,,,Forest: California Mixed Conifer Group,,Forest: California Mixed Conifer Group,,,Forest Harvest: Forest Selection 85%,1.0000,,,,,,,,
,,,Forest: California Mixed Conifer Group,,Forest: California Mixed Conifer Group,,,Forest Harvest: Salvage Logging,1.0000,,,,,No,,5,
,,,Forest: Douglas-fir Coastal Group,,Forest: Douglas-fir Coastal Group,,,Forest Harvest: Forest Clearcut,1.0000,,,,,,,,
,,,Forest: Douglas-fir Coastal Group,,Forest: Douglas-fir Coastal Group,,,Forest Harvest: Forest Selection,1.0000,,,,,No,,,
,,,Forest: Douglas-fir Coastal Group,,Forest: Douglas-fir Coastal Group,,,Forest Harvest: Forest Selection 20%,1.0000,,,,,No,,,
,,,Forest: Douglas-fir Coastal Group,,Forest: Douglas-fir Coastal Group,,,Forest Harvest: Forest Selection 85%,1.0000,,,,,,,,
,,,Forest: Douglas-fir Coastal Group,,Forest: Douglas-fir Coastal Group,,,Forest Harvest: Salvage Logging,1.0000,,,,,No,,5,
