Iteration,Timestep,StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,SecondaryStratumID,TertiaryStratumID,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
,,,Forest: Alder/Maple Group,,Forest: Alder/Maple Group,,,Insect: High Severity,1.0000,,,,,Yes,,,
,,,Forest: Alder/Maple Group,,Forest: Alder/Maple Group,,,Insect: Low Severity,1.0000,,,,,No,,,
,,,Forest: Alder/Maple Group,,Forest: Alder/Maple Group,,,Insect: Medium Severity,1.0000,,,,,No,,,
,,,Forest: Aspen/Birch Group,,Forest: Aspen/Birch Group,,,Insect: High Severity,1.0000,,,,,Yes,,,
,,,Forest: Aspen/Birch Group,,Forest: Aspen/Birch Group,,,Insect: Low Severity,1.0000,,,,,No,,,
,,,Forest: Aspen/Birch Group,,Forest: Aspen/Birch Group,,,Insect: Medium Severity,1.0000,,,,,No,,,
,,,Forest: California Mixed Conifer Group,,Forest: California Mixed Conifer Group,,,Insect: High Severity,1.0000,,,,,Yes,,,
,,,Forest: California Mixed Conifer Group,,Forest: California Mixed Conifer Group,,,Insect: Low Severity,1.0000,,,,,No,,,
,,,Forest: California Mixed Conifer Group,,Forest: California Mixed Conifer Group,,,Insect: Medium Severity,1.0000,,,,,No,,,
,,,Forest: Douglas-fir Coastal Group,,Forest: Douglas-fir Coastal Group,,,Insect: High Severity,1.0000,,,,,Yes,,,
,,,Forest: Douglas-fir Coastal Group,,Forest: Douglas-fir Coastal Group,,,Insect: Low Severity,1.0000,,,,,No,,,
,,,Forest: Douglas-fir Coastal Group,,Forest: Douglas-fir Coastal Group,,,Insect: Medium Severity,1.0000,,,,,No,,,
,,,Forest: Douglas-fir Inland Group,,Forest: Douglas-fir Inland Group,,,Insect: High Severity,1.0000,,,,,Yes,,,
,,,Forest: Douglas-fir Inland Group,,Forest: Douglas-fir Inland Group,,,Insect: Low Severity,1.0000,,,,,No,,,
,,,Forest: Douglas-fir Inland Group,,Forest: Douglas-fir Inland Group,,,Insect: Medium Severity,1.0000,,,,,No,,,
,,,Forest: Elm/Ash/Cottonwood Group,,Forest: Elm/Ash/Cottonwood Group,,,Insect: High Severity,1.0000,,,,,Yes,,,
,,,Forest: Elm/Ash/Cottonwood Group,,Forest: Elm/Ash/Cottonwood Group,,,Insect: Low Severity,1.0000,,,,,No,,,
,,,Forest: Elm/Ash/Cottonwood Group,,Forest: Elm/Ash/Cottonwood Group,,,Insect: Medium Severity,1.0000,,,,,No,,,
,,,Forest: Exotic Hardwoods Group,,Forest: Exotic Hardwoods Group,,,Insect: High Severity,1.0000,,,,,Yes,,,
,,,Forest: Exotic Hardwoods Group,,Forest: Exotic Hardwoods Group,,,Insect: Low Severity,1.0000,,,,,No,,,
,,,Forest: Exotic Hardwoods Group,,Forest: Exotic Hardwoods Group,,,Insect: Medium Severity,1.0000,,,,,No,,,
,,,Forest: Exotic Softwoods Group,,Forest: Exotic Softwoods Group,,,Insect: High Severity,1.0000,,,,,Yes,,,
,,,Forest: Exotic Softwoods Group,,Forest: Exotic Softwoods Group,,,Insect: Low Severity,1.0000,,,,,No,,,
,,,Forest: Exotic Softwoods Group,,Forest: Exotic Softwoods Group,,,Insect: Medium Severity,1.0000,,,,,No,,,
,,,Forest: Fir/Spruce/Mountain Hemlock Group,,Forest: Fir/Spruce/Mountain Hemlock Group,,,Insect: High Severity,1.0000,,,,,Yes,,,
,,,Forest: Fir/Spruce/Mountain Hemlock Group,,Forest: Fir/Spruce/Mountain Hemlock Group,,,Insect: Low Severity,1.0000,,,,,No,,,
,,,Forest: Fir/Spruce/Mountain Hemlock Group,,Forest: Fir/Spruce/Mountain Hemlock Group,,,Insect: Medium Severity,1.0000,,,,,No,,,
,,,Forest: Hemlock/Sitka Spruce Group,,Forest: Hemlock/Sitka Spruce Group,,,Insect: High Severity,1.0000,,,,,Yes,,,
,,,Forest: Hemlock/Sitka Spruce Group,,Forest: Hemlock/Sitka Spruce Group,,,Insect: Low Severity,1.0000,,,,,No,,,
,,,Forest: Hemlock/Sitka Spruce Group,,Forest: Hemlock/Sitka Spruce Group,,,Insect: Medium Severity,1.0000,,,,,No,,,
,,,Forest: Loblolly/Shortleaf Pine Group,,Forest: Loblolly/Shortleaf Pine Group,,,Insect: High Severity,1.0000,,,,,Yes,,,
,,,Forest: Loblolly/Shortleaf Pine Group,,Forest: Loblolly/Shortleaf Pine Group,,,Insect: Low Severity,1.0000,,,,,No,,,
,,,Forest: Loblolly/Shortleaf Pine Group,,Forest: Loblolly/Shortleaf Pine Group,,,Insect: Medium Severity,1.0000,,,,,No,,,
,,,Forest: Lodgepole Pine Group,,Forest: Lodgepole Pine Group,,,Insect: High Severity,1.0000,,,,,Yes,,,
,,,Forest: Lodgepole Pine Group,,Forest: Lodgepole Pine Group,,,Insect: Low Severity,1.0000,,,,,No,,,
,,,Forest: Lodgepole Pine Group,,Forest: Lodgepole Pine Group,,,Insect: Medium Severity,1.0000,,,,,No,,,
