Iteration,Timestep,StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,SecondaryStratumID,TertiaryStratumID,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
,1985,,Forest: Alder/Maple Group,,Forest: Alder/Maple Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: Aspen/Birch Group,,Forest: Aspen/Birch Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: California Mixed Conifer Group,,Forest: California Mixed Conifer Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: Douglas-fir Coastal Group,,Forest: Douglas-fir Coastal Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: Elm/Ash/Cottonwood Group,,Forest: Elm/Ash/Cottonwood Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: Exotic Hardwoods Group,,Forest: Exotic Hardwoods Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: Exotic Softwoods Group,,Forest: Exotic Softwoods Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: Fir/Spruce/Mountain Hemlock Group,,Forest: Fir/Spruce/Mountain Hemlock Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: Hemlock/Sitka Spruce Group,,Forest: Hemlock/Sitka Spruce Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: Loblolly/Shortleaf Pine Group,,Forest: Loblolly/Shortleaf Pine Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: Lodgepole Pine Group,,Forest: Lodgepole Pine Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: Longleaf/Slash Pine Group,,Forest: Longleaf/Slash Pine Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: Maple/Beech/Birch Group,,Forest: Maple/Beech/Birch Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: Oak/Gum/Cypress Group,,Forest: Oak/Gum/Cypress Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: Oak/Hickory Group,,Forest: Oak/Hickory Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: Oak/Pine Group,,Forest: Oak/Pine Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: Other Western Hardwoods Group,,Forest: Other Western Hardwoods Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: Other Western Softwood Group,,Forest: Other Western Softwood Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: Pinyon/Juniper Group,,Forest: Pinyon/Juniper Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: Ponderosa Pine Group,,Forest: Ponderosa Pine Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: Redwood Group,,Forest: Redwood Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: Spruce/Fir Group,,Forest: Spruce/Fir Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: Tanoak/Laurel Group,,Forest: Tanoak/Laurel Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: Tropical Hardwoods Group,,Forest: Tropical Hardwoods Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: Western Larch Group,,Forest: Western Larch Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: Western Oak Group,,Forest: Western Oak Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: Western White Pine Group,,Forest: Western White Pine Group,,,Fire: Prescribed,1,,15,,,No,,,
,1985,,Forest: White/Red/Jack Pine Group,,Forest: White/Red/Jack Pine Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: Alder/Maple Group,,Forest: Alder/Maple Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: Aspen/Birch Group,,Forest: Aspen/Birch Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: California Mixed Conifer Group,,Forest: California Mixed Conifer Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: Douglas-fir Coastal Group,,Forest: Douglas-fir Coastal Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: Elm/Ash/Cottonwood Group,,Forest: Elm/Ash/Cottonwood Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: Exotic Hardwoods Group,,Forest: Exotic Hardwoods Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: Exotic Softwoods Group,,Forest: Exotic Softwoods Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: Fir/Spruce/Mountain Hemlock Group,,Forest: Fir/Spruce/Mountain Hemlock Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: Hemlock/Sitka Spruce Group,,Forest: Hemlock/Sitka Spruce Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: Loblolly/Shortleaf Pine Group,,Forest: Loblolly/Shortleaf Pine Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: Lodgepole Pine Group,,Forest: Lodgepole Pine Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: Longleaf/Slash Pine Group,,Forest: Longleaf/Slash Pine Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: Maple/Beech/Birch Group,,Forest: Maple/Beech/Birch Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: Oak/Gum/Cypress Group,,Forest: Oak/Gum/Cypress Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: Oak/Hickory Group,,Forest: Oak/Hickory Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: Oak/Pine Group,,Forest: Oak/Pine Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: Other Western Hardwoods Group,,Forest: Other Western Hardwoods Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: Other Western Softwood Group,,Forest: Other Western Softwood Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: Pinyon/Juniper Group,,Forest: Pinyon/Juniper Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: Ponderosa Pine Group,,Forest: Ponderosa Pine Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: Redwood Group,,Forest: Redwood Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: Spruce/Fir Group,,Forest: Spruce/Fir Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: Tanoak/Laurel Group,,Forest: Tanoak/Laurel Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: Tropical Hardwoods Group,,Forest: Tropical Hardwoods Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: Western Larch Group,,Forest: Western Larch Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: Western Oak Group,,Forest: Western Oak Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: Western White Pine Group,,Forest: Western White Pine Group,,,Fire: Prescribed,1,,15,,,No,,,
,2002,,Forest: White/Red/Jack Pine Group,,Forest: White/Red/Jack Pine Group,,,Fire: Prescribed,1,,15,,,No,,,
,2017,,Forest: Alder/Maple Group,,Forest: Alder/Maple Group,,,Fire: Prescribed,1,,15,,,No,,,
,2017,,Forest: Aspen/Birch Group,,Forest: Aspen/Birch Group,,,Fire: Prescribed,1,,15,,,No,,,
,2017,,Forest: California Mixed Conifer Group,,Forest: California Mixed Conifer Group,,,Fire: Prescribed,1,,15,,,No,,,
,2017,,Forest: Douglas-fir Coastal Group,,Forest: Douglas-fir Coastal Group,,,Fire: Prescribed,1,,15,,,No,,,
,2017,,Forest: Elm/Ash/Cottonwood Group,,Forest: Elm/Ash/Cottonwood Group,,,Fire: Prescribed,1,,15,,,No,,,
,2017,,Forest: Exotic Hardwoods Group,,Forest: Exotic Hardwoods Group,,,Fire: Prescribed,1,,15,,,No,,,
,2017,,Forest: Exotic Softwoods Group,,Forest: Exotic Softwoods Group,,,Fire: Prescribed,1,,15,,,No,,,
