Iteration,Timestep,StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,SecondaryStratumID,TertiaryStratumID,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
,,,Shrubland: Post Fire Shrub,,Forest: Alder/Maple Group,,,Succession Post Fire: Alder/Maple Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: Aspen/Birch Group,,,Succession Post Fire: Aspen/Birch Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: California Mixed Conifer Group,,,Succession Post Fire: California Mixed Conifer Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: Douglas-fir Coastal Group,,,Succession Post Fire: Douglas-fir Coastal Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: Douglas-fir Inland Group,,,Succession Post Fire: Douglas-fir Inland Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: Elm/Ash/Cottonwood Group,,,Succession Post Fire: Elm/Ash/Cottonwood Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: Exotic Hardwoods Group,,,Succession Post Fire: Exotic Hardwoods Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: Exotic Softwoods Group,,,Succession Post Fire: Exotic Softwoods Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: Fir/Spruce/Mountain Hemlock Group,,,Succession Post Fire: Fir/Spruce/Mountain Hemlock Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: Hemlock/Sitka Spruce Group,,,Succession Post Fire: Hemlock/Sitka Spruce Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: Loblolly/Shortleaf Pine Group,,,Succession Post Fire: Loblolly/Shortleaf Pine Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: Lodgepole Pine Group,,,Succession Post Fire: Lodgepole Pine Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: Longleaf/Slash Pine Group,,,Succession Post Fire: Longleaf/Slash Pine Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: Maple/Beech/Birch Group,,,Succession Post Fire: Maple/Beech/Birch Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: Oak/Gum/Cypress Group,,,Succession Post Fire: Oak/Gum/Cypress Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: Oak/Hickory Group,,,Succession Post Fire: Oak/Hickory Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: Oak/Pine Group,,,Succession Post Fire: Oak/Pine Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: Other Western Hardwoods Group,,,Succession Post Fire: Other Western Hardwoods Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: Other Western Softwood Group,,,Succession Post Fire: Other Western Softwood Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: Pinyon/Juniper Group,,,Succession Post Fire: Pinyon/Juniper Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: Ponderosa Pine Group,,,Succession Post Fire: Ponderosa Pine Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: Redwood Group,,,Succession Post Fire: Redwood Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: Spruce/Fir Group,,,Succession Post Fire: Spruce/Fir Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: Tanoak/Laurel Group,,,Succession Post Fire: Tanoak/Laurel Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: Tropical Hardwoods Group,,,Succession Post Fire: Tropical Hardwoods Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: Western Larch Group,,,Succession Post Fire: Western Larch Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: Western Oak Group,,,Succession Post Fire: Western Oak Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: Western White Pine Group,,,Succession Post Fire: Western White Pine Group,1.0000,,,20,,,,,
,,,Shrubland: Post Fire Shrub,,Forest: White/Red/Jack Pine Group,,,Succession Post Fire: White/Red/Jack Pine Group,1.0000,,,20,,,,,
