Iteration,Timestep,StratumIDSource,StateClassIDSource,StratumIDDest,StateClassIDDest,SecondaryStratumID,TertiaryStratumID,TransitionTypeID,Probability,Proportion,AgeMin,AgeMax,AgeRelative,AgeReset,TSTMin,TSTMax,TSTRelative
,,,Agriculture: Cropland,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Agriculture: Cropland,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Agriculture: Cropland,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Agriculture: Cropland,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Agriculture: Pasture,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Agriculture: Pasture,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Agriculture: Pasture,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Agriculture: Pasture,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Alder/Maple Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Alder/Maple Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Alder/Maple Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Alder/Maple Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Aspen/Birch Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Aspen/Birch Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Aspen/Birch Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Aspen/Birch Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: California Mixed Conifer Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: California Mixed Conifer Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: California Mixed Conifer Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: California Mixed Conifer Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Douglas-fir Coastal Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Douglas-fir Coastal Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Douglas-fir Coastal Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Douglas-fir Coastal Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Douglas-fir Inland Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Douglas-fir Inland Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
,,,Forest: Douglas-fir Inland Group,,Developed: Medium Intensity,,,Urbanization: Medium,1,,,,,,,,
,,,Forest: Douglas-fir Inland Group,,Developed: Open Space,,,Urbanization: Open,1,,,,,,,,
,,,Forest: Elm/Ash/Cottonwood Group,,Developed: High Intensity,,,Urbanization: High,1,,,,,,,,
,,,Forest: Elm/Ash/Cottonwood Group,,Developed: Low Intensity,,,Urbanization: Low,1,,,,,,,,
